eventType	type	gameid	time	roundNum	state
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148656757	11	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[355,46,50]},{"color":[15,33,50]},{"color":[101,29,50]},{"color":[94,30,50]},{"color":[161,6,50]},{"color":[288,65,50]},{"color":[91,84,50]},{"color":[337,12,50]},{"color":[294,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[355,46,50]},{"color":[343,78,50]},{"color":[101,29,50]},{"color":[94,30,50]},{"color":[161,6,50]},{"color":[273,62,50]},{"color":[91,84,50]},{"color":[337,12,50]},{"color":[294,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[355,46,50]},{"color":[212,16,50]},{"color":[101,29,50]},{"color":[94,30,50]},{"color":[161,6,50]},{"color":[283,11,50]},{"color":[91,84,50]},{"color":[337,12,50]},{"color":[294,82,50]}]}],"target":1,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":2}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148692573	12	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[67,54,50]},{"color":[245,84,50]},{"color":[176,25,50]},{"color":[333,77,50]},{"color":[234,93,50]},{"color":[266,32,50]},{"color":[207,88,50]},{"color":[277,45,50]},{"color":[105,12,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[67,54,50]},{"color":[235,33,50]},{"color":[176,25,50]},{"color":[352,54,50]},{"color":[234,93,50]},{"color":[266,32,50]},{"color":[208,37,50]},{"color":[228,53,50]},{"color":[61,25,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[67,54,50]},{"color":[277,46,50]},{"color":[176,25,50]},{"color":[359,31,50]},{"color":[234,93,50]},{"color":[266,32,50]},{"color":[191,26,50]},{"color":[250,42,50]},{"color":[130,36,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":5}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148706143	13	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[187,93,50]},{"color":[62,80,50]},{"color":[156,79,50]},{"color":[268,68,50]},{"color":[137,71,50]},{"color":[317,33,50]},{"color":[23,16,50]},{"color":[244,47,50]},{"color":[277,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[187,93,50]},{"color":[28,79,50]},{"color":[357,80,50]},{"color":[71,7,50]},{"color":[137,71,50]},{"color":[233,10,50]},{"color":[23,16,50]},{"color":[146,92,50]},{"color":[121,87,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[187,93,50]},{"color":[102,55,50]},{"color":[193,0,50]},{"color":[5,22,50]},{"color":[137,71,50]},{"color":[197,60,50]},{"color":[23,16,50]},{"color":[295,55,50]},{"color":[63,93,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[0,1,2],"condition":{"name":"FAR","numDiffs":6}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148733999	14	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[185,90,50]},{"color":[338,68,50]},{"color":[234,87,50]},{"color":[188,33,50]},{"color":[68,12,50]},{"color":[252,79,50]},{"color":[209,9,50]},{"color":[230,37,50]},{"color":[124,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[170,75,50]},{"color":[340,45,50]},{"color":[234,87,50]},{"color":[200,10,50]},{"color":[68,12,50]},{"color":[252,79,50]},{"color":[229,14,50]},{"color":[260,91,50]},{"color":[124,57,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[133,69,50]},{"color":[157,27,50]},{"color":[234,87,50]},{"color":[14,76,50]},{"color":[68,12,50]},{"color":[252,79,50]},{"color":[72,95,50]},{"color":[104,44,50]},{"color":[124,57,50]}]}],"target":0,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT","numDiffs":5}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148820804	15	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[116,12,50]},{"color":[194,19,50]},{"color":[162,48,50]},{"color":[128,14,50]},{"color":[100,65,50]},{"color":[144,98,50]},{"color":[188,55,50]},{"color":[286,95,50]},{"color":[160,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[116,12,50]},{"color":[194,19,50]},{"color":[162,48,50]},{"color":[128,14,50]},{"color":[100,65,50]},{"color":[144,98,50]},{"color":[188,55,50]},{"color":[286,95,50]},{"color":[114,43,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[116,12,50]},{"color":[194,19,50]},{"color":[162,48,50]},{"color":[128,14,50]},{"color":[100,65,50]},{"color":[144,98,50]},{"color":[188,55,50]},{"color":[286,95,50]},{"color":[159,30,50]}]}],"target":2,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"CLOSE","numDiffs":1}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148864822	16	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[94,32,50]},{"color":[271,58,50]},{"color":[297,45,50]},{"color":[39,66,50]},{"color":[291,98,50]},{"color":[109,11,50]},{"color":[225,61,50]},{"color":[67,29,50]},{"color":[238,33,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[57,34,50]},{"color":[271,58,50]},{"color":[313,85,50]},{"color":[39,66,50]},{"color":[266,70,50]},{"color":[109,11,50]},{"color":[224,89,50]},{"color":[86,46,50]},{"color":[266,74,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[59,44,50]},{"color":[271,58,50]},{"color":[340,57,50]},{"color":[39,66,50]},{"color":[304,48,50]},{"color":[109,11,50]},{"color":[237,81,50]},{"color":[98,14,50]},{"color":[278,63,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[0,2,1],"condition":{"name":"CLOSE","numDiffs":6}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148881580	17	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[254,55,50]},{"color":[173,44,50]},{"color":[81,82,50]},{"color":[324,75,50]},{"color":[170,37,50]},{"color":[66,35,50]},{"color":[48,26,50]},{"color":[260,49,50]},{"color":[200,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[144,58,50]},{"color":[283,71,50]},{"color":[219,25,50]},{"color":[124,64,50]},{"color":[316,73,50]},{"color":[66,35,50]},{"color":[48,26,50]},{"color":[165,64,50]},{"color":[200,2,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[101,26,50]},{"color":[243,92,50]},{"color":[345,4,50]},{"color":[87,62,50]},{"color":[288,42,50]},{"color":[66,35,50]},{"color":[48,26,50]},{"color":[108,60,50]},{"color":[200,2,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT","numDiffs":6}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148895409	18	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[40,16,50]},{"color":[209,9,50]},{"color":[235,7,50]},{"color":[144,33,50]},{"color":[58,23,50]},{"color":[39,73,50]},{"color":[110,41,50]},{"color":[178,28,50]},{"color":[300,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[40,16,50]},{"color":[209,76,50]},{"color":[275,12,50]},{"color":[144,33,50]},{"color":[58,23,50]},{"color":[40,90,50]},{"color":[110,41,50]},{"color":[191,94,50]},{"color":[300,88,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[40,16,50]},{"color":[334,89,50]},{"color":[101,52,50]},{"color":[144,33,50]},{"color":[58,23,50]},{"color":[173,83,50]},{"color":[110,41,50]},{"color":[262,73,50]},{"color":[300,88,50]}]}],"target":1,"speakerOrder":[2,0,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT","numDiffs":4}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148916325	19	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[46,78,50]},{"color":[243,45,50]},{"color":[175,49,50]},{"color":[308,52,50]},{"color":[206,81,50]},{"color":[326,74,50]},{"color":[299,92,50]},{"color":[227,17,50]},{"color":[227,0,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[46,78,50]},{"color":[243,45,50]},{"color":[175,49,50]},{"color":[308,52,50]},{"color":[162,42,50]},{"color":[326,74,50]},{"color":[299,92,50]},{"color":[227,17,50]},{"color":[227,0,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[46,78,50]},{"color":[243,45,50]},{"color":[175,49,50]},{"color":[308,52,50]},{"color":[199,22,50]},{"color":[326,74,50]},{"color":[299,92,50]},{"color":[227,17,50]},{"color":[227,0,50]}]}],"target":0,"speakerOrder":[0,1,2],"listenerOrder":[1,2,0],"condition":{"name":"SPLIT","numDiffs":1}}
state	StateColorGrid	1204-b62356ce-b952-48b3-a19a-92ca76854fd8	1528148931869	20	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[122,53,50]},{"color":[253,41,50]},{"color":[195,82,50]},{"color":[74,65,50]},{"color":[103,92,50]},{"color":[216,70,50]},{"color":[335,49,50]},{"color":[65,62,50]},{"color":[146,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[310,23,50]},{"color":[345,36,50]},{"color":[57,94,50]},{"color":[139,40,50]},{"color":[273,10,50]},{"color":[302,38,50]},{"color":[203,47,50]},{"color":[65,62,50]},{"color":[182,46,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[162,10,50]},{"color":[181,19,50]},{"color":[166,59,50]},{"color":[290,49,50]},{"color":[107,10,50]},{"color":[89,71,50]},{"color":[251,14,50]},{"color":[65,62,50]},{"color":[65,71,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[1,2,0],"condition":{"name":"FAR","numDiffs":8}}
