eventType	type	gameid	time	roundNum	state
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523926959039	11	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[30,72,50]},{"color":[132,58,50]},{"color":[46,75,50]},{"color":[231,66,50]},{"color":[96,90,50]},{"color":[257,12,50]},{"color":[167,11,50]},{"color":[301,33,50]},{"color":[291,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[22,79,50]},{"color":[100,78,50]},{"color":[36,85,50]},{"color":[211,44,50]},{"color":[80,87,50]},{"color":[247,29,50]},{"color":[179,51,50]},{"color":[302,80,50]},{"color":[316,40,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[16,91,50]},{"color":[87,83,50]},{"color":[51,57,50]},{"color":[244,20,50]},{"color":[134,60,50]},{"color":[251,21,50]},{"color":[196,56,50]},{"color":[284,25,50]},{"color":[310,70,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927018396	12	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[77,47,50]},{"color":[60,23,50]},{"color":[26,59,50]},{"color":[126,42,50]},{"color":[325,75,50]},{"color":[40,35,50]},{"color":[169,83,50]},{"color":[133,94,50]},{"color":[350,21,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[294,20,50]},{"color":[286,47,50]},{"color":[300,58,50]},{"color":[343,54,50]},{"color":[98,7,50]},{"color":[173,98,50]},{"color":[288,45,50]},{"color":[182,32,50]},{"color":[313,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[269,92,50]},{"color":[219,50,50]},{"color":[162,91,50]},{"color":[195,22,50]},{"color":[26,35,50]},{"color":[88,35,50]},{"color":[45,93,50]},{"color":[358,44,50]},{"color":[29,72,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927064304	13	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[310,32,50]},{"color":[104,4,50]},{"color":[199,40,50]},{"color":[350,61,50]},{"color":[212,91,50]},{"color":[108,82,50]},{"color":[354,1,50]},{"color":[254,80,50]},{"color":[109,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[220,42,50]},{"color":[153,74,50]},{"color":[94,58,50]},{"color":[282,63,50]},{"color":[57,22,50]},{"color":[254,13,50]},{"color":[57,45,50]},{"color":[140,48,50]},{"color":[72,93,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[209,22,50]},{"color":[88,39,50]},{"color":[96,96,50]},{"color":[300,64,50]},{"color":[96,3,50]},{"color":[248,26,50]},{"color":[92,44,50]},{"color":[91,48,50]},{"color":[123,64,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927114726	14	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[183,25,50]},{"color":[340,17,50]},{"color":[21,57,50]},{"color":[133,12,50]},{"color":[69,63,50]},{"color":[0,19,50]},{"color":[56,19,50]},{"color":[288,9,50]},{"color":[296,38,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[147,35,50]},{"color":[353,1,50]},{"color":[35,89,50]},{"color":[122,35,50]},{"color":[133,52,50]},{"color":[12,42,50]},{"color":[38,20,50]},{"color":[46,1,50]},{"color":[258,47,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[326,39,50]},{"color":[309,86,50]},{"color":[194,4,50]},{"color":[18,93,50]},{"color":[155,0,50]},{"color":[215,9,50]},{"color":[63,94,50]},{"color":[173,90,50]},{"color":[147,30,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927160339	15	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[269,78,50]},{"color":[92,4,50]},{"color":[294,98,50]},{"color":[180,44,50]},{"color":[17,0,50]},{"color":[117,77,50]},{"color":[244,30,50]},{"color":[26,17,50]},{"color":[72,20,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[32,46,50]},{"color":[175,38,50]},{"color":[302,16,50]},{"color":[157,82,50]},{"color":[218,84,50]},{"color":[33,18,50]},{"color":[334,52,50]},{"color":[245,46,50]},{"color":[31,45,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[83,51,50]},{"color":[196,78,50]},{"color":[13,51,50]},{"color":[65,85,50]},{"color":[116,95,50]},{"color":[175,39,50]},{"color":[97,62,50]},{"color":[81,93,50]},{"color":[116,86,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927360042	16	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[60,49,50]},{"color":[183,62,50]},{"color":[133,56,50]},{"color":[210,66,50]},{"color":[349,13,50]},{"color":[185,41,50]},{"color":[23,6,50]},{"color":[331,23,50]},{"color":[45,54,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[96,73,50]},{"color":[164,69,50]},{"color":[154,54,50]},{"color":[210,26,50]},{"color":[320,45,50]},{"color":[195,38,50]},{"color":[346,0,50]},{"color":[311,63,50]},{"color":[28,28,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[89,31,50]},{"color":[180,93,50]},{"color":[106,68,50]},{"color":[238,40,50]},{"color":[344,27,50]},{"color":[174,30,50]},{"color":[110,9,50]},{"color":[295,13,50]},{"color":[42,31,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927415872	17	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[229,12,50]},{"color":[138,48,50]},{"color":[87,24,50]},{"color":[48,99,50]},{"color":[338,8,50]},{"color":[175,18,50]},{"color":[102,2,50]},{"color":[342,92,50]},{"color":[294,85,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[8,39,50]},{"color":[276,92,50]},{"color":[5,20,50]},{"color":[8,4,50]},{"color":[29,48,50]},{"color":[67,82,50]},{"color":[273,13,50]},{"color":[119,4,50]},{"color":[138,63,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[117,37,50]},{"color":[328,48,50]},{"color":[256,70,50]},{"color":[66,31,50]},{"color":[178,64,50]},{"color":[212,46,50]},{"color":[342,89,50]},{"color":[204,34,50]},{"color":[236,45,50]}]}],"target":1,"speakerOrder":[1,0,2],"listenerOrder":[1,0,2],"condition":{"name":"FAR"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927478062	18	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[344,67,50]},{"color":[161,53,50]},{"color":[330,55,50]},{"color":[207,82,50]},{"color":[17,44,50]},{"color":[96,54,50]},{"color":[224,49,50]},{"color":[230,38,50]},{"color":[186,29,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[353,29,50]},{"color":[115,48,50]},{"color":[324,41,50]},{"color":[214,41,50]},{"color":[21,60,50]},{"color":[80,17,50]},{"color":[249,51,50]},{"color":[286,19,50]},{"color":[188,69,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[8,72,50]},{"color":[153,88,50]},{"color":[335,87,50]},{"color":[203,95,50]},{"color":[29,33,50]},{"color":[64,41,50]},{"color":[247,71,50]},{"color":[219,15,50]},{"color":[192,89,50]}]}],"target":2,"speakerOrder":[1,2,0],"listenerOrder":[0,1,2],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927522353	19	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[303,99,50]},{"color":[271,9,50]},{"color":[285,46,50]},{"color":[343,58,50]},{"color":[46,41,50]},{"color":[218,8,50]},{"color":[35,5,50]},{"color":[30,20,50]},{"color":[6,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[285,93,50]},{"color":[280,36,50]},{"color":[339,39,50]},{"color":[341,25,50]},{"color":[33,46,50]},{"color":[213,62,50]},{"color":[244,12,50]},{"color":[179,4,50]},{"color":[21,99,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[350,50,50]},{"color":[70,45,50]},{"color":[104,19,50]},{"color":[194,15,50]},{"color":[336,51,50]},{"color":[297,80,50]},{"color":[326,66,50]},{"color":[257,66,50]},{"color":[120,55,50]}]}],"target":1,"speakerOrder":[0,1,2],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927544206	20	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[355,28,50]},{"color":[226,64,50]},{"color":[110,24,50]},{"color":[116,72,50]},{"color":[172,47,50]},{"color":[130,41,50]},{"color":[268,48,50]},{"color":[333,25,50]},{"color":[354,39,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[5,28,50]},{"color":[208,18,50]},{"color":[123,42,50]},{"color":[112,46,50]},{"color":[149,72,50]},{"color":[144,55,50]},{"color":[250,24,50]},{"color":[17,9,50]},{"color":[15,37,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[348,13,50]},{"color":[212,77,50]},{"color":[104,63,50]},{"color":[63,59,50]},{"color":[135,23,50]},{"color":[172,51,50]},{"color":[224,67,50]},{"color":[7,32,50]},{"color":[3,77,50]}]}],"target":2,"speakerOrder":[2,1,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927566788	21	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[311,82,50]},{"color":[48,92,50]},{"color":[355,52,50]},{"color":[321,99,50]},{"color":[319,8,50]},{"color":[182,33,50]},{"color":[344,12,50]},{"color":[280,11,50]},{"color":[333,53,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[106,32,50]},{"color":[332,34,50]},{"color":[158,12,50]},{"color":[113,24,50]},{"color":[74,30,50]},{"color":[351,9,50]},{"color":[182,53,50]},{"color":[29,81,50]},{"color":[231,61,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[316,46,50]},{"color":[64,43,50]},{"color":[15,54,50]},{"color":[299,90,50]},{"color":[320,32,50]},{"color":[143,32,50]},{"color":[38,8,50]},{"color":[298,46,50]},{"color":[285,14,50]}]}],"target":0,"speakerOrder":[2,1,0],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927618576	22	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[169,83,50]},{"color":[46,85,50]},{"color":[220,44,50]},{"color":[50,13,50]},{"color":[339,68,50]},{"color":[179,92,50]},{"color":[132,40,50]},{"color":[71,69,50]},{"color":[343,42,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[163,66,50]},{"color":[39,79,50]},{"color":[230,13,50]},{"color":[354,4,50]},{"color":[302,20,50]},{"color":[181,40,50]},{"color":[96,69,50]},{"color":[120,39,50]},{"color":[318,24,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[10,59,50]},{"color":[70,1,50]},{"color":[41,8,50]},{"color":[108,71,50]},{"color":[100,29,50]},{"color":[81,81,50]},{"color":[324,41,50]},{"color":[328,46,50]},{"color":[147,24,50]}]}],"target":1,"speakerOrder":[2,1,0],"listenerOrder":[1,0,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927700087	23	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[62,17,50]},{"color":[283,55,50]},{"color":[252,12,50]},{"color":[7,39,50]},{"color":[349,27,50]},{"color":[282,60,50]},{"color":[171,78,50]},{"color":[266,30,50]},{"color":[354,71,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[246,27,50]},{"color":[83,44,50]},{"color":[335,88,50]},{"color":[26,2,50]},{"color":[14,1,50]},{"color":[100,6,50]},{"color":[29,58,50]},{"color":[313,78,50]},{"color":[149,82,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[42,18,50]},{"color":[258,50,50]},{"color":[227,33,50]},{"color":[3,77,50]},{"color":[328,44,50]},{"color":[235,99,50]},{"color":[136,69,50]},{"color":[223,78,50]},{"color":[18,97,50]}]}],"target":2,"speakerOrder":[2,0,1],"listenerOrder":[0,2,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927718179	24	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[187,88,50]},{"color":[317,39,50]},{"color":[83,36,50]},{"color":[289,84,50]},{"color":[339,18,50]},{"color":[166,87,50]},{"color":[272,72,50]},{"color":[190,2,50]},{"color":[349,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[190,57,50]},{"color":[344,70,50]},{"color":[46,19,50]},{"color":[261,60,50]},{"color":[335,33,50]},{"color":[140,99,50]},{"color":[246,49,50]},{"color":[214,26,50]},{"color":[325,58,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[290,56,50]},{"color":[231,16,50]},{"color":[44,84,50]},{"color":[197,69,50]},{"color":[171,78,50]},{"color":[226,83,50]},{"color":[210,30,50]},{"color":[53,67,50]},{"color":[245,0,50]}]}],"target":1,"speakerOrder":[0,2,1],"listenerOrder":[0,1,2],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927737641	25	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[10,98,50]},{"color":[124,27,50]},{"color":[322,19,50]},{"color":[325,14,50]},{"color":[317,93,50]},{"color":[287,83,50]},{"color":[197,11,50]},{"color":[34,1,50]},{"color":[274,4,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[12,36,50]},{"color":[111,62,50]},{"color":[295,40,50]},{"color":[304,52,50]},{"color":[309,46,50]},{"color":[279,64,50]},{"color":[53,4,50]},{"color":[248,14,50]},{"color":[274,27,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[47,67,50]},{"color":[277,46,50]},{"color":[204,20,50]},{"color":[348,63,50]},{"color":[47,21,50]},{"color":[199,17,50]},{"color":[29,91,50]},{"color":[307,77,50]},{"color":[145,49,50]}]}],"target":0,"speakerOrder":[0,2,1],"listenerOrder":[2,0,1],"condition":{"name":"SPLIT"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927761261	26	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[169,50,50]},{"color":[332,29,50]},{"color":[68,23,50]},{"color":[33,29,50]},{"color":[330,4,50]},{"color":[262,1,50]},{"color":[324,81,50]},{"color":[342,36,50]},{"color":[107,55,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[53,49,50]},{"color":[87,77,50]},{"color":[351,55,50]},{"color":[219,58,50]},{"color":[277,56,50]},{"color":[287,30,50]},{"color":[225,12,50]},{"color":[276,70,50]},{"color":[282,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[302,37,50]},{"color":[177,14,50]},{"color":[189,30,50]},{"color":[169,83,50]},{"color":[57,62,50]},{"color":[58,29,50]},{"color":[155,75,50]},{"color":[221,4,50]},{"color":[352,33,50]}]}],"target":2,"speakerOrder":[1,0,2],"listenerOrder":[2,1,0],"condition":{"name":"FAR"}}
state	StateColorGrid	9193-e80b9de9-7035-4132-a05d-786e925f9e1c	1523927783248	27	{"objs":[{"cellLength":40,"gridDimension":3,"shapes":[{"color":[352,25,50]},{"color":[134,71,50]},{"color":[62,20,50]},{"color":[61,85,50]},{"color":[140,55,50]},{"color":[253,96,50]},{"color":[86,65,50]},{"color":[158,16,50]},{"color":[161,15,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[351,68,50]},{"color":[168,90,50]},{"color":[132,12,50]},{"color":[78,52,50]},{"color":[78,22,50]},{"color":[265,66,50]},{"color":[113,74,50]},{"color":[191,55,50]},{"color":[176,49,50]}]},{"cellLength":40,"gridDimension":3,"shapes":[{"color":[340,30,50]},{"color":[153,93,50]},{"color":[43,11,50]},{"color":[80,67,50]},{"color":[101,46,50]},{"color":[252,33,50]},{"color":[143,88,50]},{"color":[180,52,50]},{"color":[191,27,50]}]}],"target":0,"speakerOrder":[1,2,0],"listenerOrder":[2,1,0],"condition":{"name":"CLOSE"}}
